onset	duration	trial_type	success
0.000	16.120	precue_vertical	1
16.120	6.448	delay_vertical	1
33.852	14.508	precue_horizontal	1
48.360	6.448	delay_horizontal	1
67.704	12.896	precue_horizontal	1
80.600	9.672	delay_horizontal	1
101.556	12.896	precue_vertical	1
114.452	9.672	delay_vertical	1
135.408	14.508	precue_vertical	1
149.916	9.672	delay_vertical	1
169.260	14.508	precue_horizontal	1
183.768	8.060	delay_horizontal	1
203.112	12.896	precue_horizontal	1
216.008	9.672	delay_horizontal	1
236.964	14.508	precue_vertical	1
251.472	6.448	delay_vertical	1
270.816	16.120	precue_horizontal	1
286.936	8.060	delay_horizontal	1
304.668	16.120	precue_vertical	1
320.788	8.060	delay_vertical	1
