onset	duration	trial_type	success
0.000	12.896	precue_horizontal	1
12.896	8.060	delay_horizontal	1
33.852	14.508	precue_vertical	1
48.360	9.672	delay_vertical	1
67.704	14.508	precue_vertical	1
82.212	9.672	delay_vertical	1
101.556	12.896	precue_horizontal	1
114.452	8.060	delay_horizontal	1
135.408	14.508	precue_horizontal	1
149.916	8.060	delay_horizontal	1
169.260	14.508	precue_vertical	1
183.768	8.060	delay_vertical	1
203.112	12.896	precue_horizontal	1
216.008	8.060	delay_horizontal	1
236.964	14.508	precue_vertical	nan
251.472	8.060	delay_vertical	nan
270.816	14.508	precue_horizontal	1
285.324	9.672	delay_horizontal	1
304.668	14.508	precue_vertical	1
319.176	8.060	delay_vertical	1
