onset	duration	trial_type
0.000	12.896	fixation
14.199	16.932	vertical_motion
31.131	10.400	horizontal_motion
41.531	22.532	vertical_motion
64.063	15.599	horizontal_motion
79.662	12.616	vertical_motion
92.278	16.464	flickerSl
108.743	23.399	vertical_motion
132.142	26.032	horizontal_motion
158.173	27.297	vertical_motion
185.470	17.799	flickerSl
203.269	10.832	horizontal_motion
214.101	18.632	vertical_motion
232.734	22.098	horizontal_motion
254.832	24.299	vertical_motion
279.131	16.898	flickerSl
296.029	9.534	horizontal_motion
305.562	20.014	vertical_motion
325.577	32.065	horizontal_motion
357.642	15.166	vertical_motion
372.807	14.073	flickerSl
386.880	12.896	fixation
