onset	duration	trial_type	success
0.000	12.896	precue_vertical	1
12.896	8.060	delay_vertical	1
33.852	14.508	precue_vertical	1
48.360	6.448	delay_vertical	1
67.704	14.508	precue_horizontal	1
82.212	9.672	delay_horizontal	1
101.556	16.120	precue_horizontal	1
117.676	8.060	delay_horizontal	1
135.408	14.508	precue_vertical	1
149.916	9.672	delay_vertical	1
169.260	14.508	precue_vertical	1
183.768	6.448	delay_vertical	1
203.112	12.896	precue_horizontal	1
216.008	9.672	delay_horizontal	1
236.964	14.508	precue_horizontal	1
251.472	6.448	delay_horizontal	1
270.816	14.508	precue_vertical	1
285.324	8.060	delay_vertical	1
304.668	14.508	precue_horizontal	1
319.176	6.448	delay_horizontal	1
