onset	duration	trial_type
0.000	12.896	fixation
14.638	33.832	vertical_motion
48.470	27.298	horizontal_motion
75.768	16.031	vertical_motion
91.799	16.933	flickerSl
108.732	19.932	vertical_motion
128.664	22.098	horizontal_motion
150.761	21.832	vertical_motion
172.594	12.999	horizontal_motion
185.592	16.899	flickerSl
202.491	29.498	vertical_motion
231.989	21.231	horizontal_motion
253.220	19.500	vertical_motion
272.720	6.499	horizontal_motion
279.219	16.066	flickerSl
295.285	19.065	vertical_motion
314.350	23.832	horizontal_motion
338.182	12.165	vertical_motion
350.347	10.833	horizontal_motion
361.179	11.267	vertical_motion
372.446	14.434	flickerSl
386.880	12.896	fixation
