onset	duration	trial_type
0.000	12.896	fixation
15.086	22.148	vertical_motion
37.234	9.100	horizontal_motion
46.334	23.398	vertical_motion
69.732	16.081	horizontal_motion
85.813	6.499	vertical_motion
92.313	16.032	flickerSl
108.345	17.332	vertical_motion
125.677	12.999	horizontal_motion
138.676	16.516	vertical_motion
155.192	12.565	horizontal_motion
167.757	17.333	vertical_motion
185.090	16.514	flickerSl
201.605	6.551	vertical_motion
208.156	14.298	horizontal_motion
222.453	9.966	vertical_motion
232.419	17.766	horizontal_motion
250.185	2.166	vertical_motion
252.351	14.767	horizontal_motion
267.118	11.698	vertical_motion
278.816	15.600	flickerSl
294.416	3.032	vertical_motion
297.448	6.501	horizontal_motion
303.948	20.831	vertical_motion
324.779	12.999	horizontal_motion
337.778	11.699	vertical_motion
349.478	15.166	horizontal_motion
364.644	7.799	vertical_motion
372.442	14.438	flickerSl
386.880	12.896	fixation
