onset	duration	trial_type
0.000	12.896	fixation
14.197	16.465	horizontal_motion
30.662	31.664	vertical_motion
62.327	15.232	horizontal_motion
77.559	9.532	vertical_motion
87.092	5.667	horizontal_motion
92.758	15.598	flickerSl
108.357	13.866	horizontal_motion
122.222	22.098	vertical_motion
144.321	11.732	horizontal_motion
156.053	23.399	vertical_motion
179.452	5.632	horizontal_motion
185.084	17.333	flickerSl
202.417	20.398	vertical_motion
222.816	12.565	horizontal_motion
235.381	18.633	vertical_motion
254.014	24.764	horizontal_motion
278.778	18.633	flickerSl
297.410	26.430	horizontal_motion
323.841	5.200	vertical_motion
329.041	9.583	horizontal_motion
338.624	12.565	vertical_motion
351.189	10.400	horizontal_motion
361.589	10.833	vertical_motion
372.422	14.458	flickerSl
386.880	12.896	fixation
