onset	duration	trial_type
0.000	12.896	fixation
14.201	13.432	vertical_motion
27.633	14.300	horizontal_motion
41.933	13.483	vertical_motion
55.415	9.965	horizontal_motion
65.380	9.534	vertical_motion
74.915	11.265	horizontal_motion
86.179	6.067	vertical_motion
92.246	16.031	flickerSl
108.277	17.800	horizontal_motion
126.077	14.299	vertical_motion
140.376	12.999	horizontal_motion
153.375	11.699	vertical_motion
165.074	0.433	horizontal_motion
165.507	5.200	vertical_motion
170.707	13.898	horizontal_motion
184.605	1.300	vertical_motion
185.905	16.900	flickerSl
202.805	9.532	vertical_motion
212.336	9.133	horizontal_motion
221.470	1.732	vertical_motion
223.202	6.501	horizontal_motion
229.703	21.264	vertical_motion
250.967	4.767	horizontal_motion
255.734	16.032	vertical_motion
271.766	7.366	horizontal_motion
279.132	16.065	flickerSl
295.197	16.466	vertical_motion
311.663	12.998	horizontal_motion
324.661	23.833	vertical_motion
348.494	13.465	horizontal_motion
361.959	8.233	vertical_motion
370.191	2.601	horizontal_motion
372.792	14.088	flickerSl
386.880	12.896	fixation
