onset	duration	trial_type	success
0.000	16.120	precue_vertical	nan
16.120	6.448	delay_vertical	nan
33.852	14.508	precue_horizontal	1
48.360	8.060	delay_horizontal	1
67.704	12.896	precue_vertical	1
80.600	8.060	delay_vertical	1
101.556	16.120	precue_vertical	1
117.676	8.060	delay_vertical	1
135.408	12.896	precue_horizontal	1
148.304	8.060	delay_horizontal	1
169.260	14.508	precue_vertical	1
183.768	6.448	delay_vertical	1
203.112	12.896	precue_vertical	1
216.008	8.060	delay_vertical	1
236.964	16.120	precue_horizontal	1
253.084	6.448	delay_horizontal	1
270.816	14.508	precue_horizontal	1
285.324	6.448	delay_horizontal	1
304.668	12.896	precue_horizontal	nan
317.564	9.672	delay_horizontal	nan
