onset	duration	trial_type	success
0	14.508	precue_vertical	1
14.508	9.672	delay_vertical	1
33.852	14.508	precue_horizontal	1
48.36	8.06	delay_horizontal	1
67.704	14.508	precue_horizontal	1
82.212	8.06	delay_horizontal	1
101.556	12.896	precue_vertical	1
114.452	8.06	delay_vertical	1
135.408	14.508	precue_vertical	1
149.916	8.06	delay_vertical	1
169.26	14.508	precue_vertical	1
183.768	8.06	delay_vertical	1
203.112	12.896	precue_vertical	1
216.008	8.06	delay_vertical	1
236.964	12.896	precue_horizontal	1
249.86	8.06	delay_horizontal	1
270.816	16.12	precue_horizontal	1
286.936	6.448	delay_horizontal	1
304.668	12.896	precue_horizontal	1
317.564	9.672	delay_horizontal	1
