onset	duration	trial_type
0.000	12.896	fixation
14.205	19.532	vertical_motion
33.737	11.699	horizontal_motion
45.436	22.098	vertical_motion
67.535	19.966	horizontal_motion
87.501	4.766	vertical_motion
92.267	16.464	flickerSl
108.732	24.698	horizontal_motion
133.430	8.283	vertical_motion
141.713	15.167	horizontal_motion
156.879	18.631	vertical_motion
175.510	9.967	horizontal_motion
185.477	16.931	flickerSl
202.408	9.967	horizontal_motion
212.376	13.865	vertical_motion
226.241	9.099	horizontal_motion
235.340	0.433	vertical_motion
235.772	0.434	horizontal_motion
236.207	19.532	vertical_motion
255.739	13.482	horizontal_motion
269.221	9.533	vertical_motion
278.754	16.465	flickerSl
295.219	0.866	horizontal_motion
296.085	21.666	vertical_motion
317.751	16.081	horizontal_motion
333.832	14.733	vertical_motion
348.565	17.332	horizontal_motion
365.897	6.932	vertical_motion
372.830	14.050	flickerSl
386.880	12.896	fixation
