Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,28.362728699983563,2,True
2,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,62.1115099999879,4,True
3,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,95.82498459998169,1,True
4,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,129.67279959999723,1,True
5,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,2,red_Square,blue_Square,None,None,4,163.58619899998303,4,True
6,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,197.56697819998953,3,True
7,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,4,red_Square,blue_Square,None,None,1,231.61506609999924,1,True
8,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,2,red_Square,blue_Square,None,None,2,265.07916359999217,2,True
9,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,4,red_Square,blue_Square,None,None,4,299.70958470000187,4,True
10,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,4,red_Square,blue_Square,None,None,4,333.29030419999617,4,True
