Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,28.32323209999595,2,True
2,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,2,red_Square,blue_Square,None,None,2,62.78662739999709,2,True
3,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,4,red_Square,blue_Square,None,None,1,97.65116280000075,1,True
4,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,4,red_Square,blue_Square,None,None,3,130.31548849999672,3,True
5,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,3,red_Square,blue_Square,None,None,3,163.8792037999956,3,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,197.477701900003,2,True
7,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,1,red_Square,blue_Square,None,None,1,231.4583352000045,1,True
8,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,266.20504460000666,1,True
9,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,2,red_Square,blue_Square,None,None,2,299.03589190001367,2,True
10,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,332.9335876000114,3,True
