Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,29.153317299991613,3,True
2,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,62.2839052999916,4,True
3,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,96.49810669998988,3,True
4,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,130.01219280000078,2,True
5,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,163.54313629999524,2,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,197.7072410999972,4,True
7,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.95468299998902,3,True
8,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,265.10237839998445,2,True
9,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,299.1670153999876,2,True
10,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,333.0487911000091,4,True
