Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,28.15136070002336,3,True
2,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,red_Square,blue_Square,None,None,4,63.149401400005445,4,True
3,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,1,red_Square,blue_Square,None,None,3,95.84668670000974,3,True
4,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,129.9607132000092,1,True
5,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,3,red_Square,blue_Square,None,None,2,163.64290190002066,2,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,2,red_Square,blue_Square,None,None,4,197.58969069999876,4,True
7,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,1,red_Square,blue_Square,None,None,1,231.50318810000317,1,True
8,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,4,red_Square,blue_Square,None,None,3,265.567360200017,3,True
9,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,4,red_Square,blue_Square,None,None,4,299.0314148000034,4,True
10,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,3,red_Square,blue_Square,None,None,3,333.36220329999924,3,True
