Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,2,blue_Square,red_Square,None,None,4,28.275380700011738,4,True
2,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,blue_Square,red_Square,None,None,1,62.372826300008455,1,True
3,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,1,blue_Square,red_Square,None,None,1,96.07189740001922,1,True
4,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,4,blue_Square,red_Square,None,None,4,129.66789440001594,4,True
5,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,164.18349409999792,4,True
6,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,197.46377740000025,1,True
7,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,231.29377039999235,4,True
8,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,3,blue_Square,red_Square,None,None,3,265.5580423999927,3,True
9,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,4,blue_Square,red_Square,None,None,1,299.5556148000178,1,True
10,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,3,blue_Square,red_Square,None,None,3,333.51969620000455,3,True
