Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,2,red_Square,blue_Square,None,None,1,28.398452699999325,1,True
2,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,61.96178569999756,1,True
3,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,1,red_Square,blue_Square,None,None,1,95.89314780000132,1,True
4,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,129.87345250000362,4,True
5,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,1,red_Square,blue_Square,None,None,1,163.77207629999612,1,True
6,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,197.60316189998412,1,True
7,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,231.6507789999887,3,True
8,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,265.3139184000029,2,True
9,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,4,red_Square,blue_Square,None,None,4,299.1616803999932,4,True
10,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,red_Square,blue_Square,None,None,4,332.8917126999877,4,True
