Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,2,blue_Square,red_Square,None,None,2,28.774782699998468,4,
2,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,1,blue_Square,red_Square,None,None,1,62.10574950001319,1,True
3,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,95.98557580000488,2,True
4,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,3,blue_Square,red_Square,None,None,3,130.04973009999958,3,True
5,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,blue_Square,red_Square,None,None,3,164.79868720000377,1,
6,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,197.561463799997,3,True
7,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,blue_Square,red_Square,None,None,1,231.49244090000866,1,True
8,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,4,blue_Square,red_Square,None,None,1,265.2909737000009,1,True
9,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,298.90500620001694,2,True
10,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,4,blue_Square,red_Square,None,None,2,333.1015420000185,2,True
