Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,29.38612050001393,4,True
2,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,1,blue_Square,red_Square,None,None,1,62.999197700002696,1,True
3,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,4,blue_Square,red_Square,None,None,2,96.34653030001209,2,True
4,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,130.0112968000176,1,True
5,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,blue_Square,red_Square,None,None,1,163.65826150000794,1,True
6,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,198.28928670001915,3,True
7,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,blue_Square,red_Square,None,None,3,231.65530680000666,3,True
8,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,4,blue_Square,red_Square,None,None,4,265.56752670000424,4,True
9,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,2,blue_Square,red_Square,None,None,4,299.2992372000008,4,True
10,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,333.0458517000079,3,True
