Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,28.395826399995713,3,True
2,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.326620500010904,1,True
3,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,96.04041990000405,2,True
4,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,1,blue_Square,red_Square,None,None,1,129.75422719999915,1,True
5,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,4,blue_Square,red_Square,None,None,1,164.50242519998574,1,True
6,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,3,blue_Square,red_Square,None,None,3,197.51722270000027,3,True
7,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.74662119999994,3,True
8,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,1,blue_Square,red_Square,None,None,1,265.3780446999881,1,True
9,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,299.07634299999336,2,True
10,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,333.1558900999953,2,True
