onset	duration	trial_type
0.000	12.896	fixation
14.204	6.500	horizontal_motion
20.704	9.100	vertical_motion
29.804	8.665	horizontal_motion
38.469	6.533	vertical_motion
45.002	2.167	horizontal_motion
47.169	3.900	horizontal_motion
51.068	10.401	vertical_motion
61.469	9.531	horizontal_motion
71.000	8.233	vertical_motion
79.233	12.566	horizontal_motion
91.799	16.499	flickerSl
108.297	2.600	horizontal_motion
110.897	5.634	vertical_motion
116.531	4.766	horizontal_motion
121.296	6.066	vertical_motion
127.363	9.100	horizontal_motion
136.463	9.098	vertical_motion
145.561	7.801	horizontal_motion
153.362	8.232	vertical_motion
161.594	7.833	horizontal_motion
169.426	6.066	vertical_motion
175.492	6.501	horizontal_motion
181.993	3.465	vertical_motion
185.458	16.500	flickerSl
201.958	3.899	horizontal_motion
205.857	4.766	vertical_motion
210.623	6.933	horizontal_motion
217.556	7.400	vertical_motion
224.956	4.334	horizontal_motion
229.290	6.066	vertical_motion
235.355	4.333	horizontal_motion
239.688	6.067	vertical_motion
245.755	4.332	horizontal_motion
250.087	4.768	vertical_motion
254.855	5.198	horizontal_motion
260.053	4.766	vertical_motion
264.819	5.634	horizontal_motion
270.454	6.931	vertical_motion
277.385	1.301	horizontal_motion
278.686	16.065	flickerSl
294.751	4.766	horizontal_motion
299.517	6.933	vertical_motion
306.450	4.768	horizontal_motion
311.217	7.799	vertical_motion
319.017	7.365	horizontal_motion
326.382	7.366	vertical_motion
333.748	9.133	horizontal_motion
342.880	6.068	vertical_motion
348.948	4.766	horizontal_motion
353.714	4.765	vertical_motion
358.479	7.366	horizontal_motion
365.845	6.500	vertical_motion
372.345	14.535	flickerSl
386.880	12.896	fixation
