onset	duration	trial_type
0.000	12.896	fixation
12.896	12.896	vertical_motion
25.792	12.896	horizontal_motion
38.688	12.896	vertical_motion
51.584	12.896	horizontal_motion
64.480	12.896	vertical_motion
77.376	12.896	horizontal_motion
90.272	16.120	flickerSl
106.392	12.896	vertical_motion
119.288	12.896	horizontal_motion
132.184	12.896	vertical_motion
145.080	12.896	horizontal_motion
157.976	12.896	vertical_motion
170.872	12.896	horizontal_motion
183.768	16.120	flickerSl
199.888	12.896	vertical_motion
212.784	12.896	horizontal_motion
225.680	12.896	vertical_motion
238.576	12.896	horizontal_motion
251.472	12.896	vertical_motion
264.368	12.896	horizontal_motion
277.264	16.120	flickerSl
293.384	12.896	vertical_motion
306.280	12.896	horizontal_motion
319.176	12.896	vertical_motion
332.072	12.896	horizontal_motion
344.968	12.896	vertical_motion
357.864	12.896	horizontal_motion
370.760	16.120	flickerSl
386.880	12.896	fixation
