onset	duration	trial_type	success
0.000	14.508	precue_vertical	nan
14.508	8.060	delay_vertical	nan
33.852	12.896	precue_horizontal	1
46.748	8.060	delay_horizontal	1
67.704	12.896	precue_horizontal	1
80.600	9.672	delay_horizontal	1
101.556	12.896	precue_horizontal	1
114.452	8.060	delay_horizontal	1
135.408	12.896	precue_vertical	nan
148.304	9.672	delay_vertical	nan
169.260	12.896	precue_vertical	1
182.156	8.060	delay_vertical	1
203.112	16.120	precue_horizontal	1
219.232	8.060	delay_horizontal	1
236.964	14.508	precue_vertical	1
251.472	6.448	delay_vertical	1
270.816	12.896	precue_horizontal	1
283.712	9.672	delay_horizontal	1
304.668	14.508	precue_vertical	1
319.176	9.672	delay_vertical	1
