onset	duration	trial_type
0.000	12.896	fixation
13.784	0.000	vertical_motion
13.784	3.899	vertical_motion
17.682	6.501	vertical_motion
24.183	6.932	horizontal_motion
31.115	3.034	vertical_motion
34.149	9.533	vertical_motion
43.683	8.232	horizontal_motion
51.914	3.466	vertical_motion
55.380	6.100	horizontal_motion
61.480	5.633	vertical_motion
67.113	3.465	horizontal_motion
70.579	6.500	vertical_motion
77.078	5.250	horizontal_motion
82.328	3.033	horizontal_motion
85.361	3.033	horizontal_motion
88.394	3.467	vertical_motion
91.861	5.632	flickerSl
97.494	10.399	flickerSl
107.893	3.900	vertical_motion
111.792	11.749	horizontal_motion
123.541	7.800	vertical_motion
131.341	3.900	horizontal_motion
135.241	3.032	vertical_motion
138.274	3.900	horizontal_motion
142.173	3.466	horizontal_motion
145.640	4.766	vertical_motion
150.406	3.900	horizontal_motion
154.306	6.500	vertical_motion
160.805	3.900	horizontal_motion
164.705	7.800	vertical_motion
172.505	2.599	horizontal_motion
175.104	1.301	vertical_motion
176.405	2.166	horizontal_motion
178.571	2.166	horizontal_motion
180.737	4.383	vertical_motion
185.120	16.466	flickerSl
201.587	4.332	vertical_motion
205.919	2.167	horizontal_motion
208.086	2.599	vertical_motion
210.685	1.733	horizontal_motion
212.418	3.034	horizontal_motion
215.453	3.465	vertical_motion
218.918	3.900	horizontal_motion
222.818	7.366	vertical_motion
230.184	10.883	horizontal_motion
241.066	5.634	vertical_motion
246.700	7.365	horizontal_motion
254.065	6.934	vertical_motion
260.999	6.933	horizontal_motion
267.932	4.334	vertical_motion
272.265	2.600	horizontal_motion
274.865	3.898	vertical_motion
278.763	16.032	flickerSl
294.795	6.984	horizontal_motion
301.780	6.498	vertical_motion
308.278	6.934	horizontal_motion
315.212	5.632	vertical_motion
320.844	3.468	horizontal_motion
324.311	9.098	vertical_motion
333.409	8.233	horizontal_motion
341.642	8.666	vertical_motion
350.308	6.067	horizontal_motion
356.375	8.282	vertical_motion
364.657	7.799	horizontal_motion
372.456	14.424	flickerSl
386.880	12.896	fixation
