onset	duration	trial_type
0.000	12.896	fixation
14.641	3.466	horizontal_motion
18.107	10.432	vertical_motion
28.539	10.400	horizontal_motion
38.940	9.099	vertical_motion
48.038	10.832	horizontal_motion
58.870	9.533	vertical_motion
68.403	5.634	horizontal_motion
74.037	6.933	vertical_motion
80.970	3.899	horizontal_motion
84.868	2.633	vertical_motion
87.502	4.334	horizontal_motion
91.836	16.031	flickerSl
107.867	4.816	vertical_motion
112.683	3.467	horizontal_motion
116.150	9.966	vertical_motion
126.116	6.065	horizontal_motion
132.182	8.667	vertical_motion
140.849	5.282	horizontal_motion
146.131	6.967	vertical_motion
153.097	5.633	horizontal_motion
158.730	1.300	vertical_motion
160.030	4.333	horizontal_motion
164.363	2.600	vertical_motion
166.962	2.167	horizontal_motion
169.130	3.899	vertical_motion
173.029	2.167	horizontal_motion
175.195	7.799	horizontal_motion
182.994	2.166	vertical_motion
185.161	17.333	flickerSl
202.494	6.532	horizontal_motion
209.026	5.633	vertical_motion
214.659	3.468	horizontal_motion
218.127	8.232	vertical_motion
226.359	2.166	horizontal_motion
228.525	4.766	vertical_motion
233.291	3.900	horizontal_motion
237.191	9.534	vertical_motion
246.724	9.098	horizontal_motion
255.822	7.799	vertical_motion
263.622	7.401	horizontal_motion
271.023	6.498	vertical_motion
277.521	0.867	horizontal_motion
278.388	16.465	flickerSl
294.853	4.766	vertical_motion
299.619	4.767	horizontal_motion
304.387	5.633	vertical_motion
310.020	4.766	horizontal_motion
314.786	6.932	vertical_motion
321.718	3.033	horizontal_motion
324.751	6.100	vertical_motion
330.851	3.899	horizontal_motion
334.750	6.500	vertical_motion
341.250	5.200	horizontal_motion
346.450	6.065	vertical_motion
352.515	12.133	horizontal_motion
364.648	7.799	vertical_motion
372.447	14.433	flickerSl
386.880	12.896	fixation
