onset	duration	trial_type
0.000	12.896	fixation
14.194	6.066	horizontal_motion
20.261	1.733	horizontal_motion
21.993	8.666	vertical_motion
30.659	8.666	horizontal_motion
39.325	9.533	vertical_motion
48.858	13.000	horizontal_motion
61.858	7.415	vertical_motion
69.273	4.766	horizontal_motion
74.039	4.333	vertical_motion
78.372	1.734	vertical_motion
80.107	8.665	horizontal_motion
88.772	3.033	vertical_motion
91.805	16.899	flickerSl
108.704	1.733	horizontal_motion
110.437	6.933	vertical_motion
117.370	6.500	horizontal_motion
123.870	6.116	vertical_motion
129.985	8.233	horizontal_motion
138.218	6.933	vertical_motion
145.152	3.034	horizontal_motion
148.185	6.982	vertical_motion
155.168	11.265	horizontal_motion
166.433	5.633	vertical_motion
172.065	3.467	horizontal_motion
175.532	4.333	vertical_motion
179.865	4.816	horizontal_motion
184.681	17.332	flickerSl
202.013	2.601	horizontal_motion
204.615	12.132	vertical_motion
216.747	5.199	horizontal_motion
221.945	4.768	vertical_motion
226.714	8.231	horizontal_motion
234.944	3.900	vertical_motion
238.844	2.167	horizontal_motion
241.011	2.166	vertical_motion
243.177	3.951	horizontal_motion
247.128	3.033	vertical_motion
250.161	6.066	horizontal_motion
256.227	7.800	vertical_motion
264.026	6.932	horizontal_motion
270.958	4.334	vertical_motion
275.292	3.465	horizontal_motion
278.758	16.466	flickerSl
295.223	9.566	vertical_motion
304.789	0.867	vertical_motion
305.656	5.633	horizontal_motion
311.289	4.333	vertical_motion
315.622	4.333	horizontal_motion
319.955	6.066	vertical_motion
326.021	6.933	horizontal_motion
332.954	4.766	vertical_motion
337.720	2.601	horizontal_motion
340.321	9.098	vertical_motion
349.419	6.499	horizontal_motion
355.919	7.800	vertical_motion
363.719	6.550	horizontal_motion
370.268	2.166	vertical_motion
372.434	14.446	flickerSl
386.880	12.896	fixation
