onset	duration	trial_type	success
0.000	16.120	precue_horizontal	1
16.120	6.448	delay_horizontal	1
33.852	16.120	precue_vertical	1
49.972	6.448	delay_vertical	1
67.704	14.508	precue_vertical	1
82.212	8.060	delay_vertical	1
101.556	12.896	precue_horizontal	1
114.452	8.060	delay_horizontal	1
135.408	14.508	precue_vertical	1
149.916	8.060	delay_vertical	1
169.260	16.120	precue_horizontal	1
185.380	6.448	delay_horizontal	1
203.112	16.120	precue_vertical	1
219.232	6.448	delay_vertical	1
236.964	14.508	precue_horizontal	1
251.472	9.672	delay_horizontal	1
270.816	16.120	precue_vertical	1
286.936	8.060	delay_vertical	1
304.668	12.896	precue_horizontal	1
317.564	8.060	delay_horizontal	1
