onset	duration	trial_type
0.000	12.896	fixation
14.201	12.566	horizontal_motion
26.766	9.148	vertical_motion
35.914	7.366	horizontal_motion
43.281	10.833	vertical_motion
54.114	6.066	horizontal_motion
60.179	9.967	vertical_motion
70.147	10.831	horizontal_motion
80.978	7.367	vertical_motion
88.345	3.499	horizontal_motion
91.844	16.032	flickerSl
107.876	3.900	horizontal_motion
111.776	3.466	vertical_motion
115.242	6.066	horizontal_motion
121.308	7.366	vertical_motion
128.674	11.699	horizontal_motion
140.373	13.032	vertical_motion
153.406	7.801	horizontal_motion
161.207	11.697	vertical_motion
172.904	9.533	horizontal_motion
182.437	3.034	vertical_motion
185.471	16.031	flickerSl
201.503	4.766	horizontal_motion
206.269	6.533	vertical_motion
212.802	5.199	horizontal_motion
218.001	7.799	vertical_motion
225.800	3.900	horizontal_motion
229.700	6.499	vertical_motion
236.200	7.416	horizontal_motion
243.616	7.366	vertical_motion
250.982	7.799	horizontal_motion
258.781	9.100	vertical_motion
267.882	5.232	horizontal_motion
273.114	5.633	vertical_motion
278.747	16.032	flickerSl
294.779	7.367	horizontal_motion
302.146	6.065	vertical_motion
308.211	5.634	horizontal_motion
313.845	6.498	vertical_motion
320.344	5.633	horizontal_motion
325.977	6.534	vertical_motion
332.510	15.165	horizontal_motion
347.676	6.066	vertical_motion
353.742	3.900	horizontal_motion
357.642	9.965	vertical_motion
367.607	4.334	horizontal_motion
371.941	14.939	flickerSl
386.880	12.896	fixation
