Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,4,red_Square,blue_Square,None,None,4,28.208631399989827,4,True
2,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,62.33948719999171,4,True
3,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,96.02118169999449,3,True
4,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,129.8685809999879,3,True
5,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,red_Square,blue_Square,None,None,3,163.66548379999585,3,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,197.69618559998344,2,True
7,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,1,red_Square,blue_Square,None,None,1,231.46233959999518,1,True
8,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,1,265.85783339999034,2,
9,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,red_Square,blue_Square,None,None,4,299.5053578999941,4,True
10,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,1,red_Square,blue_Square,None,None,4,334.002840799978,4,True
