Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,2,4,blue_Square,red_Square,None,None,4,28.268129300005967,2,
2,14.508000000000001,8.06,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,1,blue_Square,red_Square,None,None,1,63.1812678000133,1,True
3,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,96.29549869999755,4,True
4,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,130.07642250001663,2,True
5,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,164.2578310999961,2,True
6,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,2,blue_Square,red_Square,None,None,4,197.42356570000993,4,True
7,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,2,blue_Square,red_Square,None,None,3,231.68681220000144,3,True
8,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,265.4999659000023,4,True
9,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,3,blue_Square,red_Square,None,None,3,299.4478491000191,3,True
10,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,4,blue_Square,red_Square,None,None,3,332.94484609999927,4,
