Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,28.545387099991785,2,True
2,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,62.09280620000209,1,True
3,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,96.09036139998352,2,True
4,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,129.9054238999961,4,True
5,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,4,1,blue_Square,red_Square,None,None,4,163.58570950001013,4,True
6,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,197.5828707999899,3,True
7,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,231.38049159999355,3,True
8,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,265.4446631000028,3,True
9,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,299.15881719999015,4,True
10,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,333.02287749998504,4,True
