Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,3,red_Square,blue_Square,1,-5.816009100002702,2,28.268131599994376,2,True
2,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,2,red_Square,blue_Square,None,None,2,62.231506000010995,2,True
3,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,4,red_Square,blue_Square,None,None,4,96.23100040000281,4,True
4,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,129.87641789999907,1,True
5,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,164.49098150001373,2,True
6,14.508000000000001,8.06,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,3,red_Square,blue_Square,None,None,3,197.82155140000395,3,True
7,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,2,red_Square,blue_Square,None,None,2,231.5190150999988,2,True
8,14.508000000000001,6.448,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,4,red_Square,blue_Square,None,None,3,265.49984570001834,3,True
9,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,299.11400430000504,1,True
10,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,333.0782734999957,3,True
