Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,28.33920930000022,3,True
2,12.896,9.672,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,62.12128219997976,1,True
3,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,96.3175912000006,2,True
4,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,130.38167779997457,4,True
5,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,163.6124788999732,1,True
6,16.12,8.06,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,2,red_Square,blue_Square,None,None,3,197.49352669998189,3,True
7,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,1,2,red_Square,blue_Square,None,None,2,231.70757420000155,2,True
8,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,3,4,red_Square,blue_Square,None,None,4,265.32183419997455,4,True
9,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,2,1,red_Square,blue_Square,None,None,2,299.4026639999938,2,True
10,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,2,red_Square,blue_Square,None,None,2,334.1348659999785,2,True
