Trial,PrecueTime,DelayTime,SwitchTime,ReportTime,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success
1,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,2,1,blue_Square,red_Square,None,None,1,29.5753512000083,1,True
2,16.12,8.06,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,4,blue_Square,red_Square,None,None,3,62.70658890000777,3,True
3,14.508000000000001,9.672,3.224,6.448,"quartetPart1, quartetPart2",vertical,illusory,3,2,blue_Square,red_Square,None,None,3,96.08812650002073,3,True
4,14.508000000000001,9.672,3.224,6.448,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,130.8683949999977,3,True
5,12.896,9.672,4.836,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,3,blue_Square,red_Square,None,None,1,164.4659904,1,True
6,16.12,6.448,4.836,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,4,blue_Square,red_Square,None,None,4,197.83032239999739,4,True
7,14.508000000000001,6.448,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,2,3,blue_Square,red_Square,None,None,3,231.57785070000682,3,True
8,16.12,6.448,4.836,6.448,"quartetPart2, quartetPart1",horizontal,illusory,4,1,blue_Square,red_Square,None,None,1,265.30801070001326,1,True
9,12.896,8.06,6.448,6.448,"quartetPart2, quartetPart1",vertical,illusory,1,2,blue_Square,red_Square,None,None,1,299.1394896999991,1,True
10,12.896,8.06,6.448,6.448,"quartetPart1, quartetPart2",horizontal,illusory,4,3,blue_Square,red_Square,None,None,3,333.51959860001807,3,True
