Trial,Stim,Duration,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success,Timestamp,Onset
1,PrecueTime,8,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,28.33920930000022,3,True,8,0
1,DelayTime,5,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,28.33920930000022,3,True,13,8
1,SwitchTime,4,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,28.33920930000022,3,True,17,13
1,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,2,3,red_Square,blue_Square,None,None,3,28.33920930000022,3,True,21,17
2,PrecueTime,8,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,62.12128219997976,1,True,29,21
2,DelayTime,6,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,62.12128219997976,1,True,35,29
2,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,62.12128219997976,1,True,38,35
2,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,4,1,red_Square,blue_Square,None,None,1,62.12128219997976,1,True,42,38
3,PrecueTime,10,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,96.3175912000006,2,True,52,42
3,DelayTime,5,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,96.3175912000006,2,True,57,52
3,SwitchTime,2,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,96.3175912000006,2,True,59,57
3,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,2,4,red_Square,blue_Square,None,None,2,96.3175912000006,2,True,63,59
4,PrecueTime,10,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,130.38167779997457,4,True,73,63
4,DelayTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,130.38167779997457,4,True,77,73
4,SwitchTime,3,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,130.38167779997457,4,True,80,77
4,ReportTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,red_Square,blue_Square,None,None,4,130.38167779997457,4,True,84,80
5,PrecueTime,9,"quartetPart2, quartetPart1",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,163.6124788999732,1,True,93,84
5,DelayTime,6,"quartetPart2, quartetPart1",vertical,illusory,1,3,red_Square,blue_Square,None,None,1,163.6124788999732,1,True,99,93
