Trial,Stim,Duration,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success,Timestamp,Onset
1,PrecueTime,10,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,29.15235570000368,4,True,10,0
1,DelayTime,5,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,29.15235570000368,4,True,15,10
1,SwitchTime,2,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,29.15235570000368,4,True,17,15
1,ReportTime,4,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,29.15235570000368,4,True,21,17
2,PrecueTime,8,"quartetPart1, quartetPart2",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,62.817217500007246,2,True,29,21
2,DelayTime,5,"quartetPart1, quartetPart2",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,62.817217500007246,2,True,34,29
2,SwitchTime,4,"quartetPart1, quartetPart2",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,62.817217500007246,2,True,38,34
2,ReportTime,4,"quartetPart1, quartetPart2",vertical,illusory,2,3,blue_Square,red_Square,None,None,2,62.817217500007246,2,True,42,38
3,PrecueTime,9,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,96.54713200000697,2,True,51,42
3,DelayTime,5,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,96.54713200000697,2,True,56,51
3,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,96.54713200000697,2,True,59,56
3,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,1,2,blue_Square,red_Square,None,None,2,96.54713200000697,2,True,63,59
4,PrecueTime,8,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,130.87804999999935,3,True,71,63
4,DelayTime,6,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,130.87804999999935,3,True,77,71
4,SwitchTime,3,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,130.87804999999935,3,True,80,77
4,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,130.87804999999935,3,True,84,80
5,PrecueTime,9,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,163.80892280000262,4,True,93,84
5,DelayTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,163.80892280000262,4,True,97,93
5,SwitchTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,163.80892280000262,4,True,101,97
5,ReportTime,4,"quartetPart1, quartetPart2",vertical,illusory,4,3,blue_Square,red_Square,None,None,4,163.80892280000262,4,True,105,101
6,PrecueTime,10,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,198.20676309999544,2,True,115,105
6,DelayTime,4,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,198.20676309999544,2,True,119,115
6,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,198.20676309999544,2,True,122,119
6,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,3,2,blue_Square,red_Square,None,None,2,198.20676309999544,2,True,126,122
7,PrecueTime,10,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,231.5879477999988,2,True,136,126
7,DelayTime,5,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,231.5879477999988,2,True,141,136
7,SwitchTime,2,"quartetPart2, quartetPart1",horizontal,illusory,4,2,blue_Square,red_Square,None,None,2,231.5879477999988,2,True,143,141
