Trial,Stim,Duration,QuartetOrder,Instruct_V_H,illusory_physical,V_buttom,H_buttom,vertical,horizontal,invalid_ResponseKey,invalid_ResponseTime,ResponseKey,ResponseTime,expected_key,success,Timestamp,Onset
1,PrecueTime,9,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,29.153317299991613,3,True,9,0
1,DelayTime,5,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,29.153317299991613,3,True,14,9
1,SwitchTime,3,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,29.153317299991613,3,True,17,14
1,ReportTime,4,"quartetPart1, quartetPart2",horizontal,illusory,1,3,blue_Square,red_Square,None,None,3,29.153317299991613,3,True,21,17
2,PrecueTime,9,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,62.2839052999916,4,True,30,21
2,DelayTime,5,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,62.2839052999916,4,True,35,30
2,SwitchTime,3,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,62.2839052999916,4,True,38,35
2,ReportTime,4,"quartetPart2, quartetPart1",horizontal,illusory,1,4,blue_Square,red_Square,None,None,4,62.2839052999916,4,True,42,38
3,PrecueTime,9,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,96.49810669998988,3,True,51,42
3,DelayTime,5,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,96.49810669998988,3,True,56,51
3,SwitchTime,3,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,96.49810669998988,3,True,59,56
3,ReportTime,4,"quartetPart2, quartetPart1",vertical,illusory,3,1,blue_Square,red_Square,None,None,3,96.49810669998988,3,True,63,59
4,PrecueTime,9,"quartetPart1, quartetPart2",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,130.01219280000078,2,True,72,63
4,DelayTime,5,"quartetPart1, quartetPart2",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,130.01219280000078,2,True,77,72
4,SwitchTime,3,"quartetPart1, quartetPart2",vertical,illusory,2,1,blue_Square,red_Square,None,None,2,130.01219280000078,2,True,80,77
